0, 1568442.5090198056
1, 1097754.1203882128
2, 676332.9995785633
3, 592735.787317839
4, 452263.7085025243
5, 368374.70993779256
6, 360947.364582395
7, 305625.0552901238
8, 265353.9269344015
9, 244357.25666072537
10, 250776.62820627555
11, 230983.61002853402
12, 222855.98768996
13, 212068.13978737115
14, 214314.96496293665
15, 217825.18976391718
16, 188416.00952074619
17, 183798.1637104038
18, 180614.63880217492
19, 189277.1330767123
20, 175577.01553730626
21, 173481.70801617255
22, 195745.76561030903
23, 170546.13855321
24, 161230.73721984494
25, 158393.37234782174
26, 156099.34184173623
27, 154032.3093778705
28, 152069.45689278762
29, 150045.38031422155
30, 147501.4168590214
31, 145109.41831820522
32, 143723.39931332687
33, 143718.35267429127
34, 139676.71121414565
35, 137258.4825885692
36, 135421.0461339405
37, 133673.9081452106
38, 131233.5037318633
39, 129338.77236493389
40, 127481.57304050146
41, 125630.98293389093
42, 123784.74069174893
43, 121942.75249027142
44, 120105.26340492413
45, 118272.69211485436
46, 116445.58606364786
47, 114624.59014869155
48, 112810.42060067687
49, 111003.84287008629
