0, 290339.2400614121
1, 303851.6029951884
2, 296406.67981193156
3, 289003.1739783601
4, 297433.24515335704
5, 296016.39824182773
6, 295982.69023643393
7, 287507.82161202264
8, 299208.3331688309
9, 275300.5549188028
10, 277354.0032279899
11, 268314.1569525938
12, 267561.4016136941
13, 255531.15450809523
14, 283185.9795819115
15, 272903.99394881196
16, 241279.21630572857
17, 291255.4341935676
18, 274755.4636943292
19, 260577.10506273492
20, 283972.0401701904
21, 302208.1114780374
22, 294244.1753875727
23, 293007.2199953014
24, 275621.2117669409
